geometry,date_time,start_polygon_id,start_polygon_name,end_polygon_id,end_polygon_name,length_km,tile_size,country,level,n_crisis,n_baseline,n_difference,percent_change,is_statistically_significant,z_score,start_lat,start_lon,end_lat,end_lon,start_quadkey,end_quadkey
"LINESTRING (-8.72314453125 39.52099022538021, -8.72314453125 39.52099022538021)",2020-04-13 0000,731680,Serra de Santo António,731680,Serra de Santo António,0,13,PT,LEVEL5,48,40.6,7.4,17.788461538462,0,1.2455018215705,39.508708476604,-8.7235972726792,39.508708476604,-8.7235972726792,0331100313023,0331100313023
"LINESTRING (-8.72314453125 39.554880991259985, -8.72314453125 39.554880991259985)",2020-04-13 0000,731137,Mira de Aire,731137,Mira de Aire,0,13,PT,LEVEL5,204,174.4,29.6,16.875712656784,0,2.2816532976435,39.545879962582,-8.7175381039166,39.545879962582,-8.7175381039166,0331100313021,0331100313021
"LINESTRING (-8.72314453125 39.62261287134375, -8.72314453125 39.62261287134375)",2020-04-13 0000,731060,São Mamede,731060,São Mamede,0,13,PT,LEVEL5,102,101.4,0.59999999999999,0.58593749999999,0,0.099585919546393,39.609767709858,-8.7134039972826,39.609767709858,-8.7134039972826,0331100313001,0331100313001
"LINESTRING (-8.72314453125 39.65645397806613, -8.72314453125 39.65645397806613)",2020-04-13 0000,731060,São Mamede,731060,São Mamede,0,13,PT,LEVEL5,61,50.4,10.6,20.622568093385,0,1.3594213165128,39.609767709858,-8.7134039972826,39.609767709858,-8.7134039972826,0331100311223,0331100311223
"LINESTRING (-8.72314453125 39.69027852429607, -8.72314453125 39.69027852429607)",2020-04-13 0000,730678,Arrabal,730678,Arrabal,0,13,PT,LEVEL5,64,56,8,14.035087719298,0,1.3426901732747,39.701339760584,-8.7322931268744,39.701339760584,-8.7322931268744,0331100311221,0331100311221
"LINESTRING (-8.72314453125 39.72408650635505, -8.72314453125 39.72408650635505)",2020-04-13 0000,730678,Arrabal,730678,Arrabal,0,13,PT,LEVEL5,131,117.2,13.8,11.675126903553,0,0.822946169742,39.701339760584,-8.7322931268744,39.701339760584,-8.7322931268744,0331100311203,0331100311203
"LINESTRING (-8.72314453125 39.75787792058951, -8.72314453125 39.75787792058951)",2020-04-13 0000,730683,Caranguejeira,730683,Caranguejeira,0,13,PT,LEVEL5,135,121.8,13.2,10.749185667752,0,1.2719384018301,39.746991801821,-8.7026684846749,39.746991801821,-8.7026684846749,0331100311201,0331100311201
"LINESTRING (-8.72314453125 39.79165276337068, -8.72314453125 39.79165276337068)",2020-04-13 0000,730686,Colmeias,730686,Colmeias,0,13,PT,LEVEL5,79,86,-7,-8.0459770114943,0,-1.015666750154,39.807068498884,-8.7007013093623,39.807068498884,-8.7007013093623,0331100311023,0331100311023
"LINESTRING (-8.72314453125 39.825411031094646, -8.72314453125 39.825411031094646)",2020-04-13 0000,730686,Colmeias,730686,Colmeias,0,13,PT,LEVEL5,141,132.8,8.2,6.1285500747384,0,0.72563530342638,39.807068498884,-8.7007013093623,39.807068498884,-8.7007013093623,0331100311021,0331100311021
"LINESTRING (-8.72314453125 39.859152720182266, -8.72314453125 39.859152720182266)",2020-04-13 0000,731116,Carnide,731116,Carnide,0,13,PT,LEVEL5,69,62.2,6.8,10.759493670886,0,0.71999003480897,39.880008420693,-8.7277161462172,39.880008420693,-8.7277161462172,0331100311003,0331100311003
"LINESTRING (-8.72314453125 39.89287782707916, -8.72314453125 39.89287782707916)",2020-04-13 0000,731116,Carnide,731116,Carnide,0,13,PT,LEVEL5,49,41.8,7.2,16.822429906542,0,1.8779059114463,39.880008420693,-8.7277161462172,39.880008420693,-8.7277161462172,0331100311001,0331100311001
"LINESTRING (-8.72314453125 39.92658634825569, -8.72314453125 39.92658634825569)",2020-04-13 0000,731119,Mata Mourisca,731119,Mata Mourisca,0,13,PT,LEVEL5,16,16.6,-0.6,-3.4090909090909,0,-0.28934569330225,39.946925119188,-8.7344288209015,39.946925119188,-8.7344288209015,0331100133223,0331100133223
"LINESTRING (-8.72314453125 39.960278280206914, -8.72314453125 39.960278280206914)",2020-04-13 0000,731119,Mata Mourisca,731119,Mata Mourisca,0,13,PT,LEVEL5,39,29.8,9.2,29.87012987013,0,1.1572555924812,39.946925119188,-8.7344288209015,39.946925119188,-8.7344288209015,0331100133221,0331100133221
"LINESTRING (-8.72314453125 39.99395361945257, -8.72314453125 39.99395361945257)",2020-04-13 0000,731118,Louriçal,731118,Louriçal,0,13,PT,LEVEL5,68,71.2,-3.2,-4.4321329639889,0,-0.45391212509011,40.005380053338,-8.7505477110207,40.005380053338,-8.7505477110207,0331100133203,0331100133203
"LINESTRING (-8.72314453125 40.02761236253704, -8.72314453125 40.02761236253704)",2020-04-13 0000,731118,Louriçal,731118,Louriçal,0,13,PT,LEVEL5,39,32.4,6.6,19.760479041916,0,1.3673068042673,40.005380053338,-8.7505477110207,40.005380053338,-8.7505477110207,0331100133201,0331100133201
