Município;Butano;Propano;Gás Auto;Gasolina IO 95;Gasolina IO 98;Gasóleo Rodoviário;Gasóleo Colorido;Gasóleo Colorido p/ Aquecimento;Lubrificantes;Biodiesel;Grand Total
Oliveira do Hospital;0;0;37,219;2090,321094;325,247702;8863,05252;0;0;5,278;0;11321,11832
Ourique;0;0;0;478,651504;36,553166;2551,44792;0;0;3,897;0;3070,54959
Ovar;0;0;457,933;3472,859022;283,235576;14519,1354;0;0;48,784;0,101;18782,048
Paços de Ferreira;0;7,486;337,339;4891,838304;590,327712;18538,62108;0;0;403,674;4,488;24773,7741
Palmela;0;0;522,406;7588,976686;265,037786;29906,5158;0;0;261,341;0,82;38545,09727
Pampilhosa da Serra;0;0;0;133,021498;33,19485;943,97772;0;0;0,743;0;1110,937068
Paredes;0;1,024;148,128;4421,095146;499,392296;17133,06336;0;0;184,359;21,374;22408,4358
Paredes de Coura;0;0;0,209;442,257148;42,684694;1247,49576;0;0;1,455;0;1734,101602
Pedrogão Grande;0;0;0;146,38385;21,4513;677,3214;0;0;0,943;0;846,09955
Penacova;0;9,495;31,883;589,755522;94,211546;3615,7926;0;0;1,477;1,76;4344,374668
Penafiel;0;13,336;168,027;4826,681918;667,457388;20188,27692;0;0;12,576;0;25876,35523
Penalva do Castelo;0;0;0;406,978062;39,55484;1475,0106;0;0;5,483;0;1927,026502
Penamacor;0;0;0;210,8196;34,76694;940,55808;0;0;0;0;1186,14462
Penedono;0;0;0;132,389636;47,209448;725,71296;0;0;0;0;905,312044
Penela;0;0;0;183,79202;65,133536;1488,34896;0;0;1,186;0,772;1739,232516
Peniche;0;0;0,418;2221,496242;122,705206;6612,14652;0;0;24,063;0;8980,828968
Peso da Régua;0;0;0;1457,46393;223,941016;6511,67664;1667,6688;0;4,69;0;9865,440386
Pinhel;0;0;0;158,206458;12,159004;2954,61012;0;181,168;3,437;0;3309,580582
Pombal;0;3,557;361,974;3491,748488;767,939952;37226,81844;0;0;909,266;31,662;42792,96588
Ponta Delgada;0,348;0;0;9445,776654;438,076262;33591,09348;0;0;292,374;0;43767,6684
Ponta do Sol;0;0;0;1052,75147;254,457658;2130,52644;0;0;0;0;3437,735568
Ponte da Barca;0;0;0;668,092982;66,376128;2077,59552;0;0;0,069;32,209;2844,34263
Ponte de Lima;0;0;95,673;2691,430736;375,584742;12709,71744;0;0;408,446;0,497;16281,34892
Ponte de Sôr;0;0;2,684;813,252646;121,026048;3455,66004;0;0;2,418;0;4395,040734
Portalegre;0;0;51,722;2460,221464;72,08994;10142,98572;0;0;28,736;0;12755,75512
Portel;0;0;0;217,433636;24,814894;1098,0396;0;0;0;0;1340,28813
Portimão;0;0;323,581;9297,430078;629,50706;25302,4002;0;0;42,394;0;35595,31234
