Município;Butano;Propano;Gás Auto;Gasolina IO 95;Gasolina IO 98;Gasóleo Rodoviário;Gasóleo Colorido;Lubrificantes;Grand Total
Tarouca;0;0;0;547,132066;71,228872;2792,89504;0;1,021;3412,276978
Tavira;0;0;4,251;3132,423414;165,978774;9085,998828;0;4,668;12393,32002
Terras do Bouro;0;0;0;429,75195;14,976702;1373,43108;0,55524;1,314;1820,028972
Tomar;0;0;115,704;2642,386458;317,970848;10462,83924;0;15,521;13554,42155
Tondela;0;0;28,65;2020,433576;343,147662;8884,7304;0;16,478;11293,43964
Torre de Moncorvo;0;0;11,03;319,535672;63,350326;2662,95372;0;63,36;3120,229718
Torres Novas;0;0;311,351;2397,55821;188,310746;21415,41864;0;98,854;24411,4926
Torres Vedras;0;0;755,078;5627,213026;563,752982;40855,6584;0;120,992;47922,69441
Trancoso;0;0;0;391,879022;206,400714;3067,29948;0;0,03;3665,609216
Trofa;0;0;199,271;4296,369914;279,984328;22287,35676;0;551,612;27614,594
Vagos;0;0;0;1765,083744;267,363122;9264,04836;0;106,755;11403,25023
Vale de Cambra;0;0;104,633;1314,318466;196,504464;5604,39012;0;59,051;7278,89705
Valença;0;0,499;26,339;831,713162;46,61605;3885,99372;0;0;4791,160932
Valongo;0;0;415,02;8881,149396;452,934586;41075,89588;0;93,802;50918,80186
Valpaços;0;0;0;558,019936;63,884912;3440,86092;0;5,602;4068,367768
Velas;0;0;0;755,645034;0;2234,211;0;4,532;2994,388034
Vendas Novas;0;0;9,495;1129,781938;107,6335;6400,05828;0;5,229;7652,197718
Viana do Alentejo;0;0;0;114,05967;0;1177,67748;0;787,732;2079,46915
Viana do Castelo;0;0;173,156;7067,630856;351,6656;26838,47916;493,53528;93,086;35017,5529
Vidigueira;0;0;0;342,013398;64,505454;1271,29548;0;1,055;1678,869332
Vieira do Minho;0;0;0;314,905996;77,158328;1466,5728;0;0,804;1859,441124
Vila de Rei;0;0;0;217,775304;0;758,4738;0;0;976,249104
Vila do Bispo;0;0;0;437,712516;0;793,97724;0;0,132;1231,821756
Vila do Conde;0;0;54,531;4553,093878;265,481138;20564,12468;0,42;107,737;25545,3877
Vila do Porto;0;0;0;985,563726;0;1205,31936;0;1,34;2192,223086
Vila flor;0;0;0;171,693392;69,021914;1721,82056;0;2,422;1964,957866
Vila Franca de Xira;0;6,854;733,606;9557,323796;248,898416;55758,03443;0;524,303;66829,01964
Vila Franca do Campo;0;0;0;793,515724;0;1322,73372;0;3,716;2119,965444
Vila Nova da Barquinha;0;0;0;185,035602;0;814,56564;0;59,348;1058,949242
Vila Nova de Cerveira;0;0;0,385;167,914902;9,749974;698,83296;0;0,293;877,175836
Vila Nova de Famalicão;0;0;555,592;10109,38692;553,00622;43822,41692;0;101,656;55142,05806
Vila Nova de Foz Côa;0;0;0;179,157868;39,097916;1209,02124;0;1,098;1428,375024
Vila Nova de Gaia;0;0;1406,924;28763,43696;1594,70246;126834,725;0;1984,491;160584,2795
Vila Nova de Ourém;0;0;70,3;4845,816818;965,687762;55958,66976;0;120,145;61960,61934
Vila Nova de Paiva;0;0;0;348,901216;27,144754;1038,44748;0;364,508;1779,00145
Vila Nova de Poiares;0;0;0;540,875364;154,221652;8702,74524;0;219,142;9616,984256
Vila Pouca de Aguiar;0;0;0,33;700,293326;88,706592;4085,8944;0;1,085;4876,309318
Vila Praia da Vitória;0;0;0;5239,052068;89,992916;10029,78312;0;25,465;15384,2931
Vila Real;0;0;209,069;4255,020626;592,447206;24282,81488;0;175,621;29514,97271
Vila Real de Santo António;0;0;72,733;952,3436;138,921484;5094,18756;0;6,633;6264,818644
Vila Velha de Rodão;0;0;22,144;461,149598;29,331354;3439,8586;0;9,216;3961,699552
Vila Verde;0;0;80,129;2115,973796;297,634714;13226,41236;2,184;56,337;15778,67087
Vila Viçosa;0;0;0;193,322916;47,634704;941,0562;0;0,05;1182,06382
Vimioso;0;0;0;32,364464;23,34007;247,82772;0;0;303,532254
Vinhais;0;0;18,056;221,797736;67,23041;1030,55148;0;0;1337,635626
Viseu;0;0;523,889;9557,210404;759,290818;47429,31536;0;663,859;58933,56458
Vizela;0;0;58,859;1288,081646;126,944948;5484,6162;0;5,177;6963,678794
Vouzela;0;0;22,587;426,461344;80,785068;2533,86752;0;3,726;3067,426932
Grand Total;971,328;857,995;35352,778;979101,4494;87102,38763;4422792,652;10518,72444;32125,245;5568822,559
